Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
127,0,0.988857,2.604223,2.088932,-96.694168,227.051147,127.813133,0.944994,2.256375,2.159337,147.670456,216.019302,125.677284
128,0,0.988614,2.604291,2.088819,-96.693405,227.052414,127.813995,0.944801,2.256320,2.159350,147.669327,216.018661,125.674454
129,0,0.988930,2.604310,2.088838,-96.697388,227.055862,127.817703,0.944659,2.256365,2.159317,147.665970,216.018051,125.676903
130,0,0.988689,2.604262,2.088700,-96.699188,227.055588,127.818466,0.944757,2.256303,2.159340,147.664291,216.019623,125.678047
131,0,0.988400,2.604245,2.088745,-96.697098,227.054443,127.816620,0.944589,2.256333,2.159297,147.666870,216.019958,125.679268
132,0,0.988837,2.604234,2.089039,-96.696884,227.055527,127.816544,0.944797,2.256331,2.159304,147.667862,216.020172,125.673904
133,0,0.988933,2.604306,2.088820,-96.695618,227.058182,127.822952,0.944643,2.256387,2.159287,147.663162,216.023392,125.686600
134,0,0.988747,2.604362,2.088802,-96.695084,227.059494,127.818314,0.944901,2.256310,2.159435,147.665176,216.024307,125.679832
135,0,0.988561,2.604243,2.088663,-96.693741,227.057983,127.821388,0.944802,2.256355,2.159299,147.671051,216.023468,125.674278
136,0,0.988733,2.604265,2.088648,-96.694000,227.058533,127.820549,0.944778,2.256330,2.159430,147.673752,216.020233,125.678360
137,0,0.988744,2.604271,2.088929,-96.688759,227.057510,127.816246,0.944677,2.256355,2.159249,147.673935,216.021606,125.681717
138,0,0.988803,2.604396,2.088692,-96.687622,227.054337,127.815498,0.944780,2.256355,2.159264,147.673233,216.022324,125.675499
139,0,0.988542,2.604252,2.088779,-96.690376,227.055908,127.815407,0.944930,2.256345,2.159346,147.674164,216.022156,125.672386
140,0,0.989022,2.604344,2.088849,-96.686470,227.054703,127.813164,0.944445,2.256346,2.159236,147.678589,216.021393,125.671165
141,0,0.988548,2.604296,2.088686,-96.686577,227.057770,127.818436,0.944640,2.256393,2.159243,147.683044,216.016586,125.667572
142,0,0.988743,2.604246,2.088855,-96.686874,227.055161,127.813499,0.944679,2.256342,2.159352,147.675079,216.016953,125.672180
143,0,0.988481,2.604344,2.088733,-96.685051,227.050583,127.810013,0.944878,2.256311,2.159467,147.679199,216.018936,125.669632
144,0,0.988654,2.604320,2.088784,-96.685020,227.050949,127.814384,0.944615,2.256377,2.159250,147.678726,216.015686,125.669167
